id,audio_file,reference,prediction,wer,cer,contest_type,wpm,condition,duration,used_chunking
110,morse_000110.wav,JS1V4 599 4T909 DE JS1V4 JS1V4 599 4T909 QRZ? AGN DE JS1V4 DE JS1V4 QRZ?,? ? ? ? ? ? DE AGNG,0.9333333333333333,0.8611111111111112,CQWPX,27,contest_good,44.9528125,True
746,morse_000746.wav,TEST EE4TF EE4TF TEST EE4TF IK8YUD BEN AL R PAUL WA TU TU QRZ? IK8YUD,CQ CQ DE VE6JN VE6JN VE6JN DE,1.0,0.8695652173913043,NAQP,24,dx_expedition,35.7160625,True
275,morse_000275.wav,CQ CQWW CQ CQWW DE GJ4AOH GJ4AOH K GJ4AOH DE DE1BMD 599 34 K R 599 24 TU QSL TU TEST DE1BMD,CQ CQ DE GJ5WG GJ5WG GJ5WG GJ5WG DE GJ5WG 569 B QT WXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0.8181818181818182,0.7692307692307693,CQWW,36,contest_moderate,37.866875,True
274,morse_000274.wav,CQ TEST CQ TEST DE DB9QH DB9QH K DB9QH DE NR4P 599 32 K 599 15 GL TU QRZ? NR4P,CQ CQ DE JI? JI? JI? QRZ? QRZ? DE JI? DE JI? DE JI? DE JI? DE JI? DE JI? DE JI? ? ? ? ?,1.15,0.8333333333333334,CQWW,34,contest_moderate,34.7335625,True
447,morse_000447.wav,TEST KY3XSN KY3XSN TEST AGN TEST KY3XSN KY3XSN TEST QRZ?,TEST? QRZ? QRZ? QRZ? AGN,0.9,0.8214285714285714,NAQP,24,contest_moderate,30.26225,True
166,morse_000166.wav,TEST RZ5NCG RZ5NCG TEST RZ5NCG I5YSJ 599 100 CALL? RZ5NCG I5YSJ 599 100 599 KW GL 73 GL I5YSJ TEST,I? QRZ? QRZ? I? DE TEST? EG8JWN EG8JWN K R,1.0,0.8163265306122449,ARRLDX,28,contest_moderate,53.442,True
747,morse_000747.wav,CQ TEST CQ TEST DE PV5LG PV5LG K PV5LG 599 100 VK9XM 599 KW GL TU QRZ? VK9XM DE CQ DE CQ,CQ CQ DE JS? JS? QRZ? QRZ? DE JS? DE JS? DE JS? QRZ? AGN DE JS? QRZ? AGN DE JS? AGN,0.8636363636363636,0.75,ARRLDX,35,contest_poor,39.0133125,True
988,morse_000988.wav,CQ TEST CQ TEST DE I7VQ I7VQ K I7VQ WN2H 599 RI CALL? I7VQ WN2H 599 RI 599 1500 GL TU QRZ? WN2H,CQ CQ DE JS? JS? QRZ? QRZ? DE JS? DE JS? DE JS? QRZ? DE JS? DE JS? DE JS? QQ TEST? QQ TEST? QQ TEST? QQ TEST?,1.1304347826086956,0.8947368421052632,ARRLDX,32,dx_expedition,45.2664375,True
862,morse_000862.wav,CQ CQ CQ DE VO5WM5 VO5WM5 VO5WM5 VO5WM5 DE VE6YC 599 1500 K TU 599 1500 VO5WM5 TU QRZ? VE6YC,I? QRZ? QRZ? DE KS? DE KS? QRZ? DE KS? DE KS? DE KS? DE KS? DE KS? DE KS? DE KS? DE KS? DE KS?,1.2,0.8152173913043478,ARRLDX,35,contest_moderate,41.6525,True
155,morse_000155.wav,IQ7SES 599 1 DE IQ7SES AGN QRZ? IQ7SES 599 1 AGN QRZ? QRZ? QRZ? IQ7SES 599 1,CQ CQ CQ DE VE6JN VE6JN VE6JN VE6JN DE VE6JN AGN,0.8823529411764706,0.7894736842105263,CQWW,26,clean,45.0838125,True
398,morse_000398.wav,TEST JR0RQA JR0RQA TEST JR0RQA 4687 TOM NM DG2UI R 3306 ANN TN TU TU QRZ? DG2UI,CQ CQ DE GJ9ZWG GJ9ZWG GJ9ZWG GJ9ZWG GJ9ZWG 569 QSL,1.0,0.8354430379746836,SPRINT,30,clean,37.8605,True
922,morse_000922.wav,CQ CQWPX CQ CQWPX DE DB8UO DB8UO K DB8UO DE KS9YI 599 5T031 K 599 8T876 GL QSL TU TEST KS9YI,CQ CQ DE VY9RW VY9RW K VY9RW CQ CQ DE GJ9GWG GJ9GWG GJ9GWG GJ9GWG GJ9GWG,0.8095238095238095,0.75,CQWPX,26,contest_good,55.315375,True
939,morse_000939.wav,CQ CQ CQ DE M62VZN M62VZN M62VZN M62VZN NN9G 589 CT R 599 100 TU QSL TU ARRLDX NN9G,CQ CQ DE GJ5WG GJ5WG GJ5WG GJ5WG DE GJ5WG 569 B,0.8421052631578947,0.7710843373493976,ARRLDX,37,contest_poor,34.936125,True
26,morse_000026.wav,CQ TEST CQ TEST DE DJ4BCN DJ4BCN K DJ4BCN 3A NC N7V TU 4A AL DJ4BCN 73 GL N7V TEST,CQ CQ TEST?,0.9,0.8780487804878049,FIELD_DAY,25,dx_expedition,45.593125,True
446,morse_000446.wav,TEST M51IZK M51IZK TEST M51IZK JC9WG 599 55 R 599 1852 TU QSL TU TEST JC9WG,I? QRZ? QRZ? I? DE TEST?,1.0,0.84,CQWPX,26,contest_moderate,42.522875,True
36,morse_000036.wav,TEST M37PRY M37PRY TEST M37PRY DE RY3TDF BEN OH K TU AL RI M37PRY QSL TU TEST RY3TDF,CQ CQ DE GJ5RW GJ5RW GJ5RW GJ5RW GJ5RW GJ5RW GJ5RW GJ5RW GJ5RW Q,0.9444444444444444,0.8214285714285714,NAQP,33,clean,34.7426875,True
789,morse_000789.wav,TEST JB7ITM JB7ITM TEST JB7ITM VA7VF 559 100 599 1500 GL 73 GL VA7VF TEST,CQ CQ,1.0,0.9863013698630136,ARRLDX,20,dx_expedition,54.0274375,True
871,morse_000871.wav,CQ TEST CQ TEST DE JN6KJL JN6KJL K JN6KJL DC5OKO 599 8T536 TU 599 6815 JN6KJL TU QRZ? DC5OKO,CQ CQ DE VE6JN VE6JN VE6JN CQ CQ DE VE6JN VE6JN VE6JN DE CQ CQ WG9XB WG9XB WG9XB Q,0.9473684210526315,0.782608695652174,CQWPX,29,clean,48.378625,True
234,morse_000234.wav,CQ CQ CQ DE KU5P KU5P KU5P KU5P 569 2048 I9M6 R 599 7T672 TU QSL TU TEST I9M6,CQ CQ DE VE6JN VE6JN VE6JN K,0.8421052631578947,0.8051948051948052,CQWPX,26,contest_good,45.5789375,True
86,morse_000086.wav,CQ TEST CQ TEST DE F4QP F4QP K F4QP DO5RNL 1A OH TU 2A NV F4QP QSL TU FIELD_DAY DO5RNL,CQ CQ DL? QSL TU QSL TU DL? DL? KD,0.8,0.7209302325581395,FIELD_DAY,21,contest_poor,56.8699375,True
